# q qerr q^2*I(q) q^2*I(q)err
1.162616756281223580e-02 1.947277060733509718e-05 9.300233680730921049e-03 2.149042287561423237e+01
1.169371774564721689e-02 1.981652525847444249e-05 9.875083690210839649e-03 2.386370022296377869e+01
1.176155717508093994e-02 1.971301315170248755e-05 1.044822730524329855e-02 2.660414704163930821e+01
1.182893468597143692e-02 1.940047261582096411e-05 1.118027990103834766e-02 2.928716173231249087e+01
1.189653560648256531e-02 1.979572271038281702e-05 1.212962662934527133e-02 3.247973073910436881e+01
1.196400339433328040e-02 1.935731760111878276e-05 1.307715334689937489e-02 3.689306830593828579e+01
1.203125314978584041e-02 1.964925429456824271e-05 1.419094290034293195e-02 3.992894576437514331e+01
1.209881679515548494e-02 1.965858499272402502e-05 1.549316677995485163e-02 4.413071244157372774e+01
1.216652706519513391e-02 1.970634588973096108e-05 1.721275328187995765e-02 4.356821072651590754e+01
1.223432894586986425e-02 1.992241162173825079e-05 1.906633052334612277e-02 4.554137669018939505e+01
1.230181710143372215e-02 1.939372655860089652e-05 2.080454767397481308e-02 4.727186276943027110e+01
1.236909961342009916e-02 1.979150104914063462e-05 2.294792936861592136e-02 5.045888521077874600e+01
1.243684962861921380e-02 1.978059393099677459e-05 2.516322589390876732e-02 5.816065585367780955e+01
1.250453935796956226e-02 1.971180360608599380e-05 2.832318812387275495e-02 1.070095453026984842e+02
1.257211014082175275e-02 1.970600105692375158e-05 3.432028542730010401e-02 3.703725064353133121e+02
1.263957731876541764e-02 1.947436393994446546e-05 4.463581664116365172e-02 9.943816487351755313e+02
1.270685838134775689e-02 1.957630815872476822e-05 5.356662709990581833e-02 1.519336149777382843e+03
1.277420360116749559e-02 1.949143414557863864e-05 5.780050394888541082e-02 1.356658800479021465e+03
1.284188051331897236e-02 1.973021837586953422e-05 5.480560363536239599e-02 7.596227939671828153e+02
1.290946742091029012e-02 1.956585035163840804e-05 5.468507898549043733e-02 5.967656046645300876e+02
1.297679163493775829e-02 1.947504602232907756e-05 5.592306655598188597e-02 8.604138984579100224e+02
1.304441772304215999e-02 1.980415978961059194e-05 5.441866465308052569e-02 9.672485007921241049e+02
1.311218639352552603e-02 1.955897066291990228e-05 4.806653418091363233e-02 6.780605936005725880e+02
1.317972766678083066e-02 1.958556206671476153e-05 4.187206708775161046e-02 2.943441731013370486e+02
